Scenario,Crossing,Country,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
SSP119,Tucson_Crossing,GUA,21637.552154625435,21115.378736092323,22002.487086538702,21977.43783025953,21731.104915410568,22009.721978467474,21649.832366103805,22092.174703813143,22741.404261699256,21682.219970738304,22159.987764898946,22286.84009242467,22890.76374849845,22683.642425673097,21978.4207562414,22257.922771468242,23104.569648991226,22564.359627984708,22712.25922000521,22768.406606120247,22864.157882643518,22872.253278254033,22868.32427221561,22667.04180906804,23079.55122311119,22665.725144473967,22826.579706404562,23245.39326425607,24056.131154760667,23766.47207645887,23308.02433737781,23183.26742888221,23153.428483023625,22638.261696103855,23265.96958214637,23371.665166558367,23230.12153648916,23391.97052920861,23450.462582413027,23720.622422155397,23719.567229864628,23154.04027822395,23270.437397639147,23499.69784998229,23728.648112905048,23786.87559278031,23515.554183154054,24418.026033127633,24201.307084706907,23541.363947432772,24083.778866088396,24573.096654549143,23245.333941628305,24072.968032325512,24161.913388036868,23778.951156727708,24319.66915678947,24515.15545518393,24215.80751910428,24372.958054426766,24579.675034482716,24557.444852641733,24467.493021756694,24625.04497868203,24351.579612767833,23922.399157821696,24520.657295364395,25095.468762013472,24521.365985221044,24927.899691312705,24378.748916424564,25263.58558552757,25117.75404288247,25037.463700120505,24945.085093181882,25093.595940824907,25103.734937322635,25239.24519896433
SSP245,Tucson_Crossing,GUA,16656.381349480773,17497.958196913987,21965.177090562196,23794.178505718202,22810.571795498636,24242.39390930634,23899.008668942242,26252.102639023047,26403.679087607346,20654.31531018329,25514.37346645643,24157.852216841795,19077.709258924624,25126.280443768756,24301.742728575933,23476.284399108437,26033.162914698885,19810.734916430563,26486.50745496009,28544.807582666002,25019.84516727974,23245.56231146222,21295.705161836766,23652.876137991003,25880.503534069736,24030.270000593715,27996.148663533433,25300.922742255214,27368.16598005771,24688.656259610998,24575.490346071383,28763.434323688813,28796.909112468195,24283.404240597047,24551.832943899215,19746.624863289508,22814.31278498482,26228.875013735153,25589.64380039655,27742.964472878644,26332.6530463596,25742.937729364556,25374.432870934994,29571.714507623834,26309.58746764967,24387.67753707602,28315.54798210525,27710.445255091094,26174.075431107693,25383.994993051692,22896.301832544177,22139.100475725612,24059.70301120917,24001.050614361237,23188.217852088957,25400.91814528587,28017.439314241044,26597.001130700835,24387.136206649713,25114.228093214155,24015.54459866354,22853.272960999737,19348.761334143164,26634.769620439587,25841.598548747254,24480.868776734227,26131.79708790829,26573.958856469053,22580.403775286813,23369.17681825268,25256.17693271154,22509.00206307815,25150.70860826121,20976.515854760455,25114.81241970931,22706.818152121366,26755.552099779437,28489.46721199674
SSP370,Tucson_Crossing,GUA,19725.383470849887,19350.484346415047,19873.78556189674,20685.485738695766,21255.333417950074,21731.56963107191,22089.762059921064,21160.63669253162,21886.137454768745,22915.95936317854,24600.909023166674,23243.74530314205,23775.068615591154,23329.52623421173,23183.48564037062,22029.711055625077,22065.280976398815,22837.755234186283,23875.904262261825,25181.19216957767,22526.919424696498,21838.94500264552,22781.194894350723,23099.795376950282,22317.965470608073,23660.679663015,22537.19383221851,23731.666993213254,23992.740194898546,22647.99089869796,20603.36702106685,22706.716316421418,21999.006925785292,21023.579112781943,22941.35259844274,25250.043174346025,25343.07937149435,22275.775390738225,23155.129602037672,24924.54004720699,22575.076484815905,22765.201406858247,23032.649582939674,23871.008743577,23651.24416353769,21925.521517061756,21739.705963352044,24502.88035983997,21858.825875354527,22713.198727656756,24468.334110541895,24529.952969757174,24677.557727645493,25406.230725945745,22457.885597557426,26883.189682052,24371.332035044008,23752.536760985346,24810.20724175713,22615.02416020615,22469.349593603107,25752.770704446204,24093.024467629646,23480.39065207821,27871.166167116324,25820.746858216018,25366.968863980368,27228.61817313944,25211.171817933875,23924.773363933182,25605.605217493197,24687.430164975576,24512.625930677335,26597.338339160953,25141.438771671084,25719.43055697213,27285.390862322623,26598.453517446113
SSP585,Tucson_Crossing,GUA,21393.203270991195,21344.018968341443,22402.577802834614,22063.28008115591,22030.18972825753,22686.650930238913,22671.97159929017,21144.80341617441,22042.765177616573,23130.726859315113,23397.52043678417,22571.443512944345,22813.83364036486,23570.202886441133,23629.430168712406,23603.599214425292,23812.249118111675,23483.86332264737,23846.569992145367,23277.003233385567,24430.025563015217,24927.60181425954,24943.75209911116,24297.699129511613,24700.36673381783,25223.15683967266,25455.011707787795,24610.843358163616,25427.262440865474,25567.164926571324,26036.354189849906,26212.31397148809,25694.55603394921,25442.48523709322,26001.76637653327,26937.89705142836,26436.986397458997,26330.26337091089,27333.55489710889,26994.00606415744,27180.318478720845,27975.176234415343,27904.887170708647,27436.153002093295,28004.439904904866,27515.388551496984,28571.573243048108,28878.818563722016,29021.70014225418,28380.77212544781,28841.77744406561,29742.75254078036,28750.36005536086,29120.21198198252,29266.94012864677,29561.73261302368,29926.25413217452,29721.415082886775,30158.507759852673,30847.07696229549,30222.813602678492,30500.210924345414,30348.413424344668,30427.124658548975,30682.195905241646,30635.967867120697,31240.095197038187,31296.537427012052,31809.294496106988,31321.704153740367,31725.14792016227,32316.45716102246,32467.328643686506,32077.454828852908,31621.447436104776,32416.841656790974,32990.13937090813,32430.78827528835
