Scenario,Crossing,Country,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
SSP119,Rio_Grande_Crossing,GUA,53249.91000931415,54495.375545908355,52962.71647160251,53228.198515732336,53929.898207315375,53596.76122874986,54522.31583922997,53866.42636009986,52802.69900872509,55106.77692068043,54381.0530517313,54347.090699650296,53372.67511233458,53997.076785003825,55603.38630751837,55268.50481805601,53815.60765949765,55096.62884602022,55021.17591003184,55126.594583214166,55153.94189760059,55354.085714016735,55577.9332970518,56190.824794731576,55593.74511593838,56625.624967883865,56524.63383113757,55915.1267602854,54533.017177912414,55320.12596484703,56439.96873221998,56902.0049989438,57176.92898349473,58408.58231010149,57387.280744352036,57395.02479195955,57890.15281177805,57787.201348353854,57887.99796689198,57571.53275741278,57789.71517619527,59120.64376208635,59107.29181709591,58871.45178648837,58636.22323392714,58737.541407269506,59488.50105087783,57925.555828630924,58568.87735143913,60085.92906383986,59232.76597617902,58484.273542328796,61317.80151915209,59902.38436790324,59943.14823001186,60914.18601634882,60064.368073294245,59895.10721114154,60701.31569469943,60607.62632521206,60416.22636085302,60676.151148620804,61069.57598161822,60975.09528760024,61730.281323587544,62792.42933882569,61829.18221817947,60912.1556439754,62259.9897993823,61674.69006530491,62973.33620728014,61445.15531043116,61948.73611500765,62323.11520532711,62721.32395480452,62644.66604737192,62840.78130254173,62789.75151910909
SSP245,Rio_Grande_Crossing,GUA,48731.11984125895,49588.13864798944,53811.37989309435,55585.171699945146,54747.60130906391,56152.632532488584,55909.47489661344,58169.85972497179,58386.2485976146,53123.91752408058,57711.889849547624,56528.08746055231,51887.09354886058,57578.539183076515,56888.656184795975,56197.918443441165,58647.506756573974,52945.95984907187,59219.72972910208,61206.41361449702,58009.3249673793,56437.652381942586,54702.96808164698,56967.138200762354,59111.03375872721,57468.84486967174,61226.61745781628,58799.89653282949,60794.883636659164,58382.754397009914,58353.34358275308,62317.292411001945,62424.02995784446,58309.130408302204,58634.01059828737,54248.279600387774,57172.128213529475,60418.03180640183,59900.19637833557,61975.10195959981,60741.358153842484,60269.49569255106,60003.01578136648,63975.634146510456,61022.57464706733,59313.837904380314,63036.32181417712,62550.17293293179,61199.39037909038,60541.499193014315,58307.461778175275,57680.097130462294,59538.93587319264,59560.138059541816,58881.1225089185,61011.15901846647,63516.12247218989,62272.9764926167,60296.888326945795,61047.61372709606,60103.20045194405,59099.748851597826,55921.64771134202,62761.99014339112,62101.22946270888,60913.5196768031,62521.97975187937,63008.162170575066,59376.00929870672,60184.00248482608,62011.643105349285,59536.69024974885,62065.0370318584,58265.17135822319,62183.02511354376,60022.98402769689,63857.68349251639,65543.19255042111
SSP370,Rio_Grande_Crossing,GUA,51653.57730165078,51401.29590585117,51930.54333707936,52710.728217268406,53280.47597077198,53768.77189658019,54154.357306526006,53419.84074968803,54125.02306713103,55094.996810093064,56635.000645998545,55528.04567337337,56064.2731732507,55750.52470904345,55697.374321128824,54767.38930193262,54872.25917537314,55618.3133776813,56595.532591142095,57805.19074463457,55569.61440584778,55044.924551440716,55938.70142333274,56289.837673178015,55683.483669595575,56925.70663005521,56022.076014541584,57135.313676011225,57436.39513698925,56340.242019649915,54635.1243580054,56539.17991124505,55997.31855715763,55222.51399952395,56965.09906736148,59047.82314586866,59202.69472780644,56607.7377442415,57446.78875471024,59060.282362817976,57089.92209250982,57329.27108323056,57635.89944286884,58439.280444728,58321.98242972315,56894.342402016766,56806.58361289168,59284.75644756124,57058.071070741935,57875.38566971426,59476.4584712526,59603.99366266374,59806.34563552598,60514.288132206675,58022.837870053365,61947.23846450847,59835.578249380946,59371.081534502475,60365.28646634877,58529.16645165611,58476.33454596123,61407.176775604414,60036.94316800402,59577.80757049091,63472.16467555171,61762.004378761456,61441.090064610384,63134.84119208962,61453.37083525991,60407.989091782234,61944.410002715704,61219.421372284574,61141.24358993625,63029.0830901548,61836.21753875797,62413.0515216506,63849.52209595945,63325.73460784155
SSP585,Rio_Grande_Crossing,GUA,51797.93801591115,51374.30652648107,55484.64498616121,53873.58522062055,53515.825937560854,55980.387031272396,55697.98368358535,49224.99447338831,52678.01240567042,56908.69611613784,57778.35561177961,54174.91855185766,54944.69522677607,57818.17789662941,57838.27280160066,57510.22608822293,58141.904719147824,56575.50724388385,57837.73705876692,55284.19084548439,59781.16645404484,61595.41470188706,61439.196339594644,58572.593633483826,59998.38273524822,61915.83077307075,62642.48684764881,58965.00195290624,62084.267372911796,62434.564231518394,64132.62511961373,64630.50375121609,62289.00998099396,61034.968230405386,63101.773320544264,66711.01583304093,64438.47764906183,63779.34134238842,67663.47184232008,66051.38428348847,66591.6360294015,69622.6513800214,69112.63853628014,66971.79804716492,69075.46354214514,66851.46523222193,70952.08637351547,71987.31402474346,72349.80424921011,69504.17786980873,71168.7420401966,74634.09349196925,70349.93024834321,71641.40545413969,72019.63960310763,73003.89805068308,74273.55600798666,73212.83283183827,74779.52305020772,77375.50153152196,74598.08325233382,75511.14365557703,74667.51845318971,74767.36077395832,75589.04101006646,75177.50945074271,77427.86907905844,77436.56482207627,79312.94784614014,77094.92942445485,78523.89534184564,80721.79079444929,81116.98353271685,79298.91685481649,77210.1667983984,80243.3778892307,82367.55253215173,79855.81881865748
