Scenario,Crossing,Country,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
SSP119,Tucson_Crossing,ELSAL,1476.1724386102246,1525.1003715386132,1428.5758140331325,1455.3837282379031,1433.8818353918598,1414.4605959097323,1465.5026005172372,1320.8861814948725,1332.3826954559831,1454.8541693535415,1451.0233003985038,1383.168751396335,1276.4007537961675,1448.390905972736,1431.4411688453674,1411.3995110766532,1292.6895511873747,1408.7141961912987,1371.138093732843,1394.2540105928497,1388.0286467050382,1402.3453758751957,1409.9145113148966,1378.1517427314539,1406.9168078309117,1407.0917777894972,1425.5945141813274,1354.8398366076701,1259.9614943684708,1377.1935576303645,1339.9894155498157,1350.3003058063487,1448.515894747782,1494.627971377801,1373.549670019822,1319.9734594304884,1433.4248941638186,1381.2202874680147,1350.4339148765764,1380.2596482411573,1439.611189572281,1495.295434052484,1439.9843770130717,1444.4572329007472,1410.0326228629124,1442.3153288799922,1416.7305896983369,1324.4138339679212,1400.7011962555937,1470.124727194713,1341.9835375671921,1367.463436985219,1500.9208187630509,1378.3503169827688,1400.5770160643413,1474.8796210230291,1321.4422197574247,1405.2283613824968,1376.5952906662824,1376.1876195641623,1363.6955950907661,1427.4191238325157,1452.9702187916255,1440.674345298766,1429.8212712405195,1498.7696809156719,1444.559975307716,1376.878329762466,1419.7720773414596,1405.8372534334492,1474.9687373571032,1265.2243809156987,1411.8878090794333,1396.7804381988817,1468.8193155451552,1434.0677872064255,1404.3624244632774,1352.7419117984036
SSP245,Tucson_Crossing,ELSAL,1310.367008566035,1216.6021646233853,1302.2826509368213,1335.3782042915675,1360.2528700582898,1429.85324460903,1389.6006757105777,1387.2903082406556,1384.080418947791,1524.617826329409,1564.2928717808297,1478.628360955085,1472.0012160771262,1409.7660030417237,1368.2986160112582,1402.8106844016156,1437.5360414716406,1349.298156358613,1468.5762464299783,1501.2544958462456,1376.029571652761,1396.5712315249518,1448.0582967905207,1348.2796394233558,1402.210251084237,1337.9186569742214,1330.2065218562193,1491.147773474212,1380.9434727107314,1272.6657251298932,1167.260419658913,1414.1801927347135,1216.3953870607115,1199.7367191727774,1415.3633335731342,1510.4007015293394,1406.9335410170686,1265.2413397401892,1359.5878378426899,1462.4867483287833,1253.7453959145123,1297.5285668047304,1358.5672555510234,1394.219954706554,1272.8713204304918,1190.1209821084537,1291.0145153346364,1466.3295692779916,1207.7366247020643,1255.4262241274807,1385.22732851414,1335.4324095558165,1318.0040477369125,1295.3547499766019,1209.9220746722356,1420.5433601660663,1197.6554042373832,1340.6827251185894,1368.6964438447549,1117.183756091675,1353.3556343964458,1369.0774337792132,1175.3057009802433,1361.9204182355065,1610.917437582841,1264.8668609227238,1323.1119316364266,1497.6480182279558,1301.4651960066672,1256.0357399158709,1361.0976758164095,1238.439170844567,1344.0366467994838,1405.9215351988048,1218.7014742339438,1393.8310597601992,1329.2844465766682,1354.3538541813484
SSP370,Tucson_Crossing,ELSAL,1242.2675873941143,1609.7778221441552,1572.9614454875293,1377.37317732491,1295.0670936470733,1463.4221096580743,1522.9638243740465,1313.7286441050635,1538.381977805548,1491.894233156172,1743.002073939835,1379.0506337908382,1378.3056727017301,1656.6560816902077,1821.922923224553,1418.2608909463363,1397.19292272043,1419.6316947096711,1654.1934554394925,1434.2137345121207,1299.6329297658297,1583.0384625345487,1580.137545612677,1483.9635082943664,1574.4190027817929,1686.7127601398931,1446.9097781528565,1631.5834256825888,1541.2205382612112,1375.7708027503888,1636.6493200421294,1405.732848426699,1208.9849130850878,1661.3879109380894,1860.7079627284554,1633.5908426994447,1607.743251735819,1625.181359453218,1693.410967510142,1543.37006937763,1752.0411391113005,1737.2167933490805,1599.7528381577847,1392.3436531706388,1276.1541447629922,1884.2696911497849,1613.8444479362934,1330.2464106896143,1463.1899322349457,1732.6506273513198,1757.2325411713464,1696.4315563127625,1549.5589201692655,1614.9758547920605,1700.7830700620393,1604.0420131562062,1727.2436896979127,1710.1672830880939,1818.6712993612632,1653.5226928969178,1446.3665844488332,1593.9725277572713,1709.66199563949,1565.592422428634,1643.4613634733666,1800.0371081662659,1843.9265194663483,1847.503080544256,1578.961495621498,1711.0560895358017,1779.8463101792581,1632.246479423518,1600.5525000575176,1752.717024569559,1763.2067397144929,1756.2822261715935,1844.0083382377481,1712.3939749493188
SSP585,Tucson_Crossing,ELSAL,1263.3567853340119,1327.3519910313569,1438.9934799407006,1316.4443888168355,1367.649485364034,1468.75732150959,1326.4021448211636,1137.360691736177,1332.4593602936093,1379.787438490791,1374.840062997179,1217.8205620180265,1238.6101765798835,1403.117215112449,1393.3257685318047,1297.4912890827902,1359.973383120588,1238.5974379399852,1258.3248798234827,1211.905209903333,1349.4263687801702,1378.7908699062616,1242.1393667377606,1205.2457827952992,1274.8513035516219,1337.2153784029351,1302.3844880033525,1182.6819491982637,1332.290386547528,1373.4127693121275,1304.6134909699128,1387.6485382598707,1203.1481816339178,1186.4887229920655,1256.6755322788329,1351.1778169420772,1131.7719648032046,1279.347653776312,1306.2249445842658,1216.5221783912302,1282.5483709843386,1325.2930771930003,1224.1389269502333,1215.0326962433523,1185.4016959706437,1241.3786429086626,1296.9715871205103,1374.3011994101437,1313.7615026414132,1238.444746836652,1280.1889321807894,1448.8002200343617,1193.511250763188,1193.0274665912177,1281.2993950963455,1274.0145351181932,1185.7966968983826,1281.782148054455,1314.3912960686569,1297.682515975737,1256.2707348193744,1220.0095223388205,1229.3301380469957,1236.3361685157643,1131.8017373944522,1241.6377088986335,1268.7193314324386,1273.8529082410205,1287.5860323393806,1288.1943660124798,1288.999985489855,1254.0880669920846,1268.2703685912395,1206.6596917421716,1198.8199654394996,1336.4661894244066,1221.9441644618412,1186.1620746488006
