Scenario,Crossing,Country,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
SSP119,Rio_Grande_Crossing,HON,76231.77796141602,75593.31360478155,76489.33994119093,76358.32590260211,76454.3480609224,76424.5785216424,76210.82962367497,76470.05972430218,76901.60949522197,76033.95794611551,76511.52794399383,76400.50985557395,77243.88757526425,76720.45070667462,76358.92010496548,76426.74852745196,77260.33137035127,76375.97037073429,76761.14910855216,76644.42580443314,76828.28797469138,76723.02126067376,76504.9611398398,76691.60206402268,76818.62440732321,76484.97366226702,76381.95949295913,76829.6740416932,77525.81473033794,77201.35879893281,77040.3508350906,76879.0751507706,76544.63047602157,75841.01772587733,76919.6386598821,76886.7857192372,76335.28435918238,76574.38003353146,76974.25570240615,76836.37324880085,76824.79023852957,76258.40731260573,76564.50696032794,76536.26988998984,76923.12880459943,76837.99651685996,76714.74637212716,77171.76651539971,77000.09589114883,76401.08799389671,77087.3230248631,77194.61713847253,76208.27310029765,76722.85314629569,77065.12275374183,76439.93364010967,76882.98615983389,77061.98320278875,76902.57233007265,76840.14089250195,77214.23230984298,76764.70475660545,76396.46267947028,76819.91621387194,76655.07707767509,76095.44255413978,76573.67723734226,77024.81676184396,76799.90668947477,76899.81541059334,76546.88879113598,77416.82622857143,76920.32757909219,76992.36567529847,76842.29732408331,76927.74913940107,77005.06779123822,77132.58864853194
SSP245,Rio_Grande_Crossing,HON,65734.2631777465,66360.88919831486,72531.55723101833,76435.7767363912,77470.71247454357,77089.94186996135,77657.75784890229,71490.85466522227,78738.5866031579,85173.96444960374,88461.38940850265,82748.16368880495,81597.69242951764,78771.458115948,78167.46785885935,77099.7184163665,75683.37406778811,75405.35947000534,82617.02986593213,86127.41597165994,77908.49472012125,78133.2736650425,81128.19944986959,77455.1005368663,76554.73352054357,76063.71024451489,75666.3952765738,81000.40968410413,76419.43883178117,75652.7192507171,65982.28862011239,72556.74252104404,67899.64174670231,68225.49641151936,73434.00631263187,84664.66447638394,80806.60475114163,68644.43789528008,75779.2028521557,80178.58998274698,68678.8439254352,72160.40664812367,72090.10136219827,78525.73771432163,73770.40478253653,69427.90541769142,72283.88440087148,80078.09734100578,65603.72645289924,69081.54084326423,80743.25722421895,76712.12794790188,75534.64284531756,74927.80902577667,65164.962615471886,81819.97466268462,73142.85209780767,72385.1802154555,76216.63037261697,65209.07912523243,70203.67557822789,79958.78333490809,72399.43931946678,74568.43946473631,91862.6067995253,75596.14530226913,76317.12589511875,86117.0843868422,74096.3201365637,72287.4349167277,78701.22753910374,69978.22021647365,71470.19399241562,79995.33173563262,71401.44799890507,76996.94089920928,79247.49958572458,81870.6942063315
SSP370,Rio_Grande_Crossing,HON,36846.06988973764,118009.24694582631,114822.54842119041,71393.90089852063,59698.17169898304,87872.02036408089,104818.6907466641,102019.45220019508,125315.83179382142,113813.02425239746,143109.37519082124,89726.4012193372,83183.51250829906,134874.40351998984,169043.91243137978,113054.34052610854,94966.86890510123,112323.63253300446,133121.19165547696,104396.623359873,73289.09536544565,116511.37225072255,143547.62979772553,92707.12616976166,136921.49459857817,152252.58081628807,116254.11156756053,152107.64333259608,137759.5107776521,85756.62721518794,163012.33236350506,122558.34280951545,68280.81589817457,131861.17770026159,202842.0789740659,169665.22369707882,141192.85466403695,137619.2350485472,154471.60015132642,130618.57316674896,164690.0045871427,178777.87777337685,175148.21387731787,131304.62312351,91696.14776387905,167401.4741122156,160385.44234021724,94432.38290180762,125352.9402021157,166959.63292251874,188754.13357434957,193830.19422249807,167363.56376906208,153201.34733716067,185586.06146734286,190929.94911013477,187440.39591549922,192315.4515958363,215650.6310760108,181873.4553321559,164995.24684189446,164817.69507398122,208259.29909571656,168097.38646546335,181586.5558467696,218194.52985023867,203268.71009558009,235742.34063243459,182815.80421520275,179871.06609417827,190968.6535796509,212245.28352352866,182358.33529342417,197054.61225622357,205450.7576407918,215460.87052829404,226008.2540670233,224244.75693646047
SSP585,Rio_Grande_Crossing,HON,70386.33353588454,70109.2292591628,79296.77390009857,76092.08928724707,75788.56401781685,82467.23388503684,78444.72998517095,63282.978824709644,73636.06988550948,83535.19007583111,82570.91608197113,73178.23346074884,76057.31827910048,85531.79937898462,83991.18949333139,81269.47167092211,83606.1424652375,74887.19515808129,81055.24575520231,76990.75934573606,85863.60309470772,86023.45277790622,85799.30243996045,78217.24149278118,82633.11006922284,89194.34086292078,84834.52149258611,77202.41739396326,87493.71020063142,91268.08603038,90491.78172617061,94752.03513369366,85496.04756373007,83567.96710280547,88075.41352685526,95287.20528931994,85880.08068479515,88718.75034057157,93094.53961451472,88716.91966010955,90666.90355266612,97500.85272872783,93860.55759626339,92895.72383560878,93290.89947928702,91252.7688665301,97432.23870626239,103101.08927589573,104562.50871006348,96354.06871964729,100156.76874920618,104471.09562909453,93726.46424538261,96233.416098637,98255.27404762933,100650.1605885905,104044.11890468062,98798.97237189418,103599.96050306945,105745.3030069663,104135.28203877379,103670.0961190426,101940.1731034316,100472.33290108551,101222.40069258522,103448.68547499146,105671.49970327075,108782.9996947699,109578.18468992002,110256.0425649072,106019.93165619476,108133.70331287212,111813.25464760343,109723.17767630104,102120.40535771905,107994.35448091984,111383.72270929365,108809.11160052393
