Scenario,Crossing,Country,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
SSP119,San_Diego_Crossing,HON,1996.359443775131,2516.6772559203255,1822.6356671029232,1941.369379042296,1880.432050078561,1919.0432757175868,2103.2513855983884,1913.1551767856752,1586.6892835303415,2288.380383255764,1925.4951780457252,2028.4045710896323,1376.0278440731656,1805.315640780935,2106.4746725816663,2067.849194913755,1423.223900190957,2138.1384612279167,1848.3694995570283,1955.7938644741528,1825.3420413782262,1923.6999336502631,2111.3198426650374,1978.6689798703383,1893.1988425728257,2172.2944195885675,2268.8697016064516,1929.6113880436583,1393.7545419430437,1665.5735623475746,1808.0437526301414,1950.725810524881,2230.4496845974104,2802.324384298141,1963.7817781984818,2004.8331342673762,2456.3305013547424,2282.1681981334386,1980.7684351321818,2104.9376471907713,2129.1564867614434,2592.4307707737735,2365.2431182711857,2402.641584475013,2111.542970893242,2193.9669575738626,2306.5565087601913,1959.9339692294266,2110.842335100293,2599.9352446789135,2071.917500228729,2002.0598142145045,2797.68132393022,2405.5072477820886,2149.6955502968444,2659.5076511901148,2323.9387563910377,2197.337079212889,2338.5433696021432,2403.002443926368,2122.0077237113674,2492.8054478997105,2799.2757815642517,2479.2170571322376,2624.7191460028102,3082.65290503242,2719.241683681816,2377.2729258391428,2570.3137234136693,2506.3006611835517,2800.6507062758046,2127.2552509757547,2535.224782430998,2493.2678692061436,2627.080710508504,2574.5084993357714,2528.3726801052844,2442.508030702342
SSP245,San_Diego_Crossing,HON,3537.3194467237054,3454.780309371308,2549.6443193020777,1980.7924737876592,1837.670410136511,1904.6036778403027,1830.7904763745605,2756.240768038483,1691.2954950165695,746.8832045168725,269.5482074664206,1127.684136576171,1308.8216860492173,1738.6004635891734,1838.6539319001033,2007.5176374886353,2228.1040883217747,2279.7909405752685,1220.1962963717588,709.7794544763136,1939.6977860006468,1916.7826808935226,1482.8472287034951,2038.2794830112366,2182.307832614683,2265.599832870816,2334.9878693515075,1553.9903034455701,2244.1279943859377,2368.326414963449,3813.612350898988,2848.5646603684368,3549.9981232587807,3512.0859151552595,2749.710071767866,1093.7983935873222,1676.674195705608,3491.671322900226,2443.487517933112,1801.1652100411866,3517.8756967542813,3011.735522337343,3032.60351971204,2088.1528734502,2804.161525953411,3458.91602632043,3045.5967962801865,1899.5674420961498,4057.6376837441962,3552.0536678782764,1832.1837563307286,2440.73874120117,2625.88446781776,2726.3598495122196,4185.357970412503,1724.6081573855374,3022.5120773014796,3145.3680462041098,2587.313347731864,4230.994463332056,3500.35801311479,2063.3810252243925,3195.4346296507424,2884.045837495233,328.46140257926356,2752.432965256835,2655.8939747236464,1212.2622621021096,3006.2787874066216,3285.1084630480327,2343.8988786869527,3648.6109463825856,3437.6758952694604,2183.1956236370343,3468.7489881441807,2648.9545688345042,2325.4645337241004,1946.6846674901376
SSP370,San_Diego_Crossing,HON,1230.2831810079538,2680.275241188014,2623.770902154491,1848.541717998272,1640.065322286731,2143.6631896101962,2446.7426383883953,2397.1583695734553,2813.644198581997,2608.6134011155928,3132.2592604631436,2179.2449065186893,2062.798707511082,2986.413076001647,3597.093977055293,2597.525548497063,2274.892055619093,2585.295806812238,2957.152476427747,2444.539475838107,1889.366599717737,2661.730754738069,3145.011141906547,2237.405538019525,3027.488537646837,3301.7135072660335,2659.1879784281473,3299.945679805974,3044.0971205118335,2115.7313059690546,3495.935564820914,2773.8340407573296,1804.842890480669,2940.8042815479903,4208.939976247934,3616.808727889214,3108.7000289161247,3045.2852442401136,3346.6803922001604,2921.0735595883048,3530.00278779107,3782.0238603389453,3717.608119748144,2934.9680119920513,2227.967447835227,3580.4818012366377,3455.58522440995,2278.0680082697195,2830.722339993934,3574.232015855262,3963.8941512626834,4054.9634376277613,3582.6774109127773,3330.14933037443,3908.9536353725007,4004.806336061131,3942.892985257307,4030.3723047356866,4447.551103223696,3844.6980770854125,3543.6621329842283,3540.901426913972,4317.182784408523,3600.297780593162,3841.6259490897855,4495.858057012841,4229.6919521355,4810.084312190685,3865.221974206096,3813.039069843145,4011.6533695913845,4392.0662873631145,3858.6930761177127,4121.580295086709,4271.946594826909,4451.138499997804,4639.9261075441245,4608.840274000568
SSP585,San_Diego_Crossing,HON,1416.8733805068098,1390.3859258904295,2178.0077708824138,1899.702166672835,1870.9420893679662,2442.7610765250133,2094.110096300966,787.3079089498202,1675.1851556785057,2524.0137371452256,2438.418833113814,1627.8476616971661,1872.8423207837116,2685.1452333629745,2549.976339499605,2313.2135076550358,2511.55199332747,1758.932700467298,2286.8303652421437,1934.568226085115,2695.1208237154724,2706.218311273558,2684.2857317913154,2029.4566228362642,2406.63895838422,2968.3563302860716,2590.6908917551705,1931.5572813520089,2814.1189021313467,3136.122729183349,3066.6961874145427,3430.493160517579,2631.6799225867194,2463.182439211222,2848.2419161116495,3465.9178068389747,2654.1043967493847,2895.622713503112,3269.3575959897125,2890.1610260712278,3055.2383305316166,3640.413790862114,3324.638801563929,3238.9957487467454,3270.334985843833,3092.371451185351,3621.251351189965,4106.209928812376,4229.262973050026,3520.5553728149002,3844.9955284270263,4213.443674235745,3286.5835554199566,3499.5689017245595,3670.8285102782124,3874.1744696710402,4163.456381911663,3709.6388238020613,4119.947523961892,4301.8287546570855,4160.689411357855,4118.023964721721,3966.5711515098965,3837.6615997970257,3899.5271670742445,4088.3707121922284,4276.915734838416,4541.901769777941,4607.648129188471,4663.302503100965,4296.277946225913,4475.443585403504,4789.291008145551,4606.859266167328,3950.2486521386763,4452.848944868341,4741.736037065626,4517.626706122222
