Scenario,Crossing,Country,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
SSP119,Tucson_Crossing,HON,3516.3851197050058,4165.66496054765,3300.145395475698,3448.486753086502,3372.7053462139556,3421.1014202851743,3651.115945679481,3414.220955539295,3007.2175800111454,3882.7435783402116,3430.3105284758894,3558.9125331053165,2745.365973597897,3281.0944117868376,3656.9942384396113,3609.0447724743235,2805.167397414383,3697.1884229347165,3335.961026181008,3470.1950345696596,3307.700819009316,3430.6252535060585,3664.895678181207,3499.6583669387783,3393.2745836528197,3741.65232073784,3862.3531162099052,3439.392396697272,2771.193455241533,3110.4943707340103,3288.4447578168756,3466.659429865784,3815.820908574258,4529.413128913466,3483.6421037221216,3535.0820115402444,4098.514804790764,3881.495866752318,3505.7601366900453,3660.8817706711816,3691.32469360053,4269.448085653434,3986.284999905474,4033.1682703779406,3670.282257630414,3773.330640025413,3914.0077336208215,3481.8608332193517,3670.3370525706746,4280.666757382667,3622.2463596707016,3535.3376444000646,4528.033015435287,4039.0648473335073,3720.195951345,4356.370903181542,3938.012387388022,3780.3208675899964,3956.6946581512634,4037.3334980803293,3687.0511442308816,4149.818705241208,4532.343882594566,4133.332848970692,4315.0652450504485,4886.5268333040085,4433.437627661911,4007.0958832388046,4248.128357734902,4168.510262217316,4535.916516857791,3696.1510660634804,4205.2869687031825,4153.18184947865,4320.333006052313,4254.986298701317,4197.668386353363,4090.7924862340724
SSP245,Tucson_Crossing,HON,4111.326976963202,4079.055099611898,3704.947364837847,3470.5848509601656,3413.1373161916085,3442.9797389068203,3414.3339850518337,3800.939142791105,3360.4215462702928,2969.9922710117394,2773.660221583299,3132.292426636726,3209.593234891598,3390.2186390359134,3433.8243920327345,3506.0247188862004,3599.7187931452777,3623.2254616196806,3184.9313562097936,2974.851915504126,3487.980890007057,3480.4861949635297,3302.189128990379,3535.0307114816014,3596.910532999404,3633.55094108243,3664.4134600779225,3341.8923129777922,3630.711678849461,3684.351035103114,4286.977519196362,3887.973059581692,4181.486462243093,4167.759616487218,3852.976856013285,3166.8790495169055,3411.1249896415848,4167.387536947849,3733.835285340835,3468.941608574416,4184.360457158471,3976.058215441104,3986.7578938966594,3596.3126796337233,3895.8829039592965,4169.99853829097,4000.2686871717437,3526.0560353928845,4424.885007370668,4216.813881216802,3504.137784917774,3759.054888474463,3838.0213226869805,3881.8024047319764,4490.127082890859,3469.5731779993903,4010.954037764803,4064.035528865174,3834.1598447202928,4519.230828965976,4217.637594615993,3622.5196251172124,4094.9802299461116,3967.608282965138,2907.645189745601,3916.971309583562,3878.8816956337787,3280.998308875173,4028.5422207859083,4146.439673195104,3757.3413048022294,4301.551337844983,4215.923643333652,3696.643456672045,4232.891957027292,3894.248506997399,3761.8478041347253,3606.471026459147
SSP370,Tucson_Crossing,HON,3110.385948327408,3793.3476790863547,3767.963741690005,3404.6396466510564,3307.799349926723,3545.7721466084004,3689.4623726606123,3667.332211220996,3864.3454443638775,3769.125247490043,4016.524491067236,3569.606864077274,3516.0386197844887,3951.5006831585843,4239.823286925956,3771.016210279918,3620.4999238159203,3767.6339934050966,3943.662860607265,3703.8193368554244,3443.9644121568836,3808.309522596253,4036.7291606622666,3611.162458517738,3983.838864557035,4113.961885715943,3813.034262014188,4115.498798834125,3996.38439187468,3561.0563618599544,4211.20428251838,3872.86049802348,3418.4306761959956,3953.737049630467,4551.190996380403,4273.958464346875,4036.232836488985,4007.599648554477,4150.497926355747,3951.5641865383564,4239.063164124751,4358.746044626934,4329.642213160436,3962.833545817339,3631.590143069469,4268.7184344823845,4211.1768726791515,3658.6993319662897,3919.738187134018,4270.516092680083,4454.9169842493675,4498.921289891395,4278.039269976428,4160.48613242599,4433.820549866939,4480.073988541643,4452.1467659051195,4494.463090417992,4691.802153698406,4409.5283053703,4269.167058192688,4269.053058129301,4635.240013929437,4299.349006303172,4414.004146766509,4722.804269593992,4598.838613920198,4872.919725426323,4429.835127970927,4406.483103515568,4501.054436334981,4681.106400651942,4431.501549029901,4556.293627105313,4628.179036599127,4713.618074730515,4803.568955182996,4790.136648248025
SSP585,Tucson_Crossing,HON,3059.339207366161,3040.8525821329154,3623.913140622768,3419.3575210038534,3399.191649779213,3822.794993577559,3566.26101816563,2601.7469711521903,3258.886470389617,3887.172823461312,3825.011571553527,3227.1637329411537,3409.2758491886266,4010.5733037630066,3911.7817198056073,3737.922147673493,3885.55991295353,3330.532847121762,3721.6826275016365,3462.4803586711764,4025.539389695704,4034.8243623625467,4019.7033445612155,3536.933664503308,3816.7195507673114,4232.858788442876,3954.885964844182,3468.9356790313886,4122.147450356734,4361.161813185553,4310.94740034368,4580.842812336316,3991.6829370946834,3868.2647837465106,4153.8711073874665,4611.358219876614,4012.592488328266,4192.135927444831,4469.374482925269,4190.270302917116,4313.331306950187,4746.803778672543,4514.561946542937,4452.365117389577,4476.606764098431,4346.194124269144,4738.069680458858,5097.491673230097,5189.500857320566,4666.920239458158,4907.734810913348,5181.066984829055,4497.292982690816,4655.753346076419,4783.382468442015,4934.720267262415,5149.556333994774,4815.314538786065,5119.577570009401,5255.055032750041,5151.85187034067,5121.411290592403,5010.587482179702,4916.420940147759,4963.21856055461,5103.840493006188,5244.241846535161,5441.1256351476295,5490.790781548267,5532.998937275243,5262.888684949824,5396.35959103973,5629.347168467227,5495.632960248074,5011.546922103696,5384.004417655606,5598.548750974203,5434.0388789806275
