Scenario,Crossing,Country,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
SSP119,Tucson_Crossing,ELSAL,1490.330474005755,1543.934095252835,1447.2687624971616,1478.0198903547891,1458.861496883862,1441.8526548142563,1497.6403523804156,1351.2906608033081,1366.2233719939602,1495.8058296441232,1494.9036122506081,1427.8576567650782,1320.6096861746944,1501.3505665262458,1486.8950672873968,1469.2452626141849,1349.6598877169217,1472.5820384064305,1436.817159493602,1463.754034480592,1460.3780316755024,1478.2243457083061,1489.0996285206277,1459.3405842144205,1492.1136713859996,1495.3499408733787,1517.5208761262952,1447.4787582126696,1352.514152927453,1476.683703906415,1441.3031023390747,1455.0109294909844,1559.5343011819048,1610.228822836976,1488.1966820289917,1435.901872926682,1556.1656049487772,1505.2878185579534,1476.5375022836497,1510.4063803232207,1574.7787737442322,1635.36243271208,1581.275330053083,1588.9518041808992,1556.442775121048,1592.8499851575675,1569.4735473865646,1477.1553521017167,1559.0243734094504,1633.8022768262392,1504.473369704137,1533.8525073517044,1674.784656444173,1551.2109030040979,1577.2291149620312,1657.047656371579,1501.5848875895742,1591.2010002256686,1564.6752895217269,1567.3096245734012,1557.4594491468772,1626.3486024607475,1655.8012931939743,1646.15376402386,1637.9968106508916,1712.283859802154,1659.3345783458115,1592.467251782599,1639.8368737491746,1628.496122525507,1702.972308182752,1489.338055144214,1643.9135510848646,1631.3614255728835,1708.8412790751297,1675.9945062545958,1648.360996015615,1598.086645143877
SSP245,Tucson_Crossing,ELSAL,1313.647298294569,1219.789462279311,1307.7561566234306,1342.4407135859394,1368.7953852140329,1440.4687674657948,1400.8327062077155,1399.6419081710203,1397.5396618800232,1541.090605175894,1582.4418893180612,1496.791785778394,1491.2269757584281,1429.3168105124985,1388.449824292424,1424.5696773461134,1460.9056469961836,1372.6480497393136,1494.6578062002775,1528.9195263437805,1403.1844923623623,1425.1487083531135,1478.468623566584,1378.5172391707642,1434.3130988688577,1370.3192877426045,1363.6551019932222,1527.8804166450393,1417.3651590543918,1308.8019981114867,1203.1493639394066,1454.4931578670537,1255.2361974342805,1239.5068601041016,1459.1425907931914,1556.5902262567959,1452.9014341996526,1310.4807895215768,1407.2283951403824,1512.6418064553704,1302.2830304302554,1347.7969081461913,1410.7950883280164,1448.0706953536549,1326.2633456021128,1243.566052515169,1346.9474980054883,1525.737191978616,1264.8658597363794,1314.337959896898,1447.0102514771256,1397.705321624447,1381.1960852725463,1359.3966904961953,1273.9814963004198,1488.5455342548787,1263.852590065467,1409.92645971474,1439.461803859134,1185.7646029793623,1426.2179997241717,1443.2984504554047,1248.107770765403,1438.3469461598338,1691.7955278087543,1342.3069946766557,1402.4745172645812,1580.4749158422326,1382.8411789757533,1337.9595920685633,1445.564707562063,1322.4301200175305,1430.5778760954206,1494.4334753824533,1305.881333750843,1484.4831002488584,1420.2308888443245,1446.7828843212878
SSP370,Tucson_Crossing,ELSAL,1286.956795606775,1621.3485880249902,1593.9767710730775,1424.5467988642001,1356.4739245568749,1512.675341364443,1571.5181092148819,1389.8778197993802,1596.4510944917379,1560.4260034443312,1790.6689493790116,1470.599204608798,1475.501606376738,1730.1193263783484,1883.5576573203803,1527.9576092418797,1514.6763836955436,1540.3219933565188,1755.7606462460787,1564.5068817340964,1449.6621867277859,1708.802883384807,1711.7762843358316,1631.2953200783968,1717.797609300646,1823.8392723251377,1614.8490188754588,1785.6512234413703,1710.3696759475063,1567.905587372411,1806.8906618235703,1605.8514459164198,1435.3838833721447,1845.7318743761623,2029.6386729018582,1831.9988551653778,1814.4411523250785,1835.6125119486044,1902.2286084995978,1773.551286535737,1965.8247319924503,1958.1298698817263,1840.7055303951427,1660.699015817148,1562.3095863233304,2111.9784431635785,1875.5894990617612,1627.4144459567424,1751.9320960032753,1998.5959121907113,2026.1590575820235,1977.3274648258864,1851.4848855186813,1915.5843955655866,1997.9277246313081,1916.9394302927524,2032.7407482676083,2023.0308971906263,2125.6817608593815,1983.4871018188935,1803.7070227008332,1941.3435980653742,2050.423509033298,1927.0889174152464,2002.3296253452845,2147.9917613151174,2192.8299259093205,2201.5989281260254,1966.8953517513185,2090.6534398119925,2157.7711339008183,2031.2779109302535,2008.4892623382907,2150.2045422533074,2165.1589586793752,2164.5323224445983,2248.592548225523,2136.4020207622493
SSP585,Tucson_Crossing,ELSAL,1330.0539767150888,1388.1226094813612,1484.3955040789256,1392.8871566811458,1440.700284801886,1528.5269711939306,1421.1374925147336,1276.3135151266558,1439.5049546354837,1484.2093696692086,1486.9977109712895,1367.8499240461138,1391.2749790757637,1529.9371045536088,1528.8413200086688,1458.753573554857,1515.6089466474605,1425.0412639093595,1447.6146360714629,1417.149210485454,1534.1732239718995,1564.4738879554743,1461.6577909099694,1438.8306753533018,1501.3978320551225,1558.1585737179994,1536.9853895674623,1447.7594957583312,1574.475462540142,1614.2039592614835,1565.793872262242,1639.1292382214026,1497.9464522637309,1491.3436834724168,1554.376935275881,1636.9070864219875,1467.7359958153875,1592.8220421508474,1621.128384063152,1555.957234726969,1615.6543755301914,1656.6837013079364,1582.3304784693971,1581.7841211806358,1564.7803695757007,1616.419714758105,1667.751154691546,1736.511726607617,1694.7244272798932,1641.0884255046606,1681.3155027438204,1823.268542121141,1625.3252596492134,1631.6926463681486,1709.227105470288,1710.1411795000072,1646.1606912871096,1729.8800911471042,1762.7824132434835,1756.140096988999,1729.6901513241103,1707.370090741653,1721.598948174958,1733.9718996580864,1656.9082631830252,1751.7334381467003,1780.2036195492792,1791.075179841359,1808.8421228189495,1816.0852033652127,1823.4864737641549,1802.2483187812675,1820.375426155582,1777.7293819133176,1778.1985469823771,1895.3228415361457,1810.250843769229,1788.3149585432773
