Scenario,Crossing,Country,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
SSP119,Rio_Grande_Crossing,ELSAL,42489.765616311626,41069.73950718602,43733.202463331014,42934.18225319029,43491.43011552385,43990.26491641846,42510.88754724141,46524.49988925746,46155.33780861639,42670.62209209331,42731.76684463611,44590.33697374685,47541.37820024415,42666.45609622083,43095.904991034695,43612.15765312653,46898.4621142374,43594.73714743818,44603.258542382726,43907.88888330087,44036.25760599129,43587.91972070429,43329.0163726536,44174.33200026772,43320.365984429896,43269.049277205144,42703.191817891886,44643.18127006974,47260.42774673829,43922.805256157095,44920.88409263211,44585.00766711267,41781.26097828623,40440.28830007448,43793.08248894057,45250.797063050995,42019.313389414034,43438.521029168085,44256.424940799676,43372.68131682608,41660.01882308947,40050.3134292634,41556.73274873563,41384.75554169499,42304.800728356684,41352.07911074255,42023.95036877682,44569.28188223524,42381.156648182856,40385.72925088849,43936.80967694357,43175.0726638386,39381.934351268195,42776.62114774444,42106.21573000383,39973.811335284925,44235.06731975613,41836.41847530824,42593.869763299816,42558.91034492773,42863.21170308333,41027.80835608571,40264.07257202367,40562.86711223636,40821.15594713558,38839.06728663629,40314.56684314014,42168.2828142123,40917.662741508415,41262.46980497747,39275.241447731445,45117.28051177183,40953.39058228907,41331.11617968353,39262.26454315031,40191.48775971686,40979.04298579638,42381.85254545374
SSP245,Rio_Grande_Crossing,ELSAL,43027.905248950265,42584.418242877626,43047.6323760388,43245.14542602249,43401.119985531506,43783.08455018376,43609.984300212964,43628.598357943505,43642.6673129374,44383.06242794075,44613.820327322996,44211.262674244885,44208.0649245124,43923.89079786897,43744.6523163672,43949.32273174293,44155.07085189124,43739.51045644795,44372.486519659695,44567.89101682742,43965.4425567949,44099.52330956469,44389.96496782133,43916.09137283404,44218.87977924643,43924.31517289316,43915.63518583915,44759.12681936136,44232.574546521624,43715.75675918231,43213.45284372626,44491.37664243317,43522.297704431854,43468.41268783981,44588.218453713205,45098.71102668146,44606.200167637384,43920.54587065003,44427.54761728959,44977.762982474334,43953.32281887137,44204.83824930866,44543.5423386865,44753.97613175919,44171.11378455061,43783.280858637394,44323.36345612314,45239.483019973384,43963.1527941376,44234.40662176886,44920.553358490135,44699.237534127366,44641.46340900809,44557.3089453245,44155.92271047747,45250.43755674149,44154.51745267698,44907.493599482324,45079.32916184037,43838.77404878232,45062.39089829554,45172.11786604085,44223.31617761982,45196.53066605372,46484.950372111256,44766.714332776406,45091.302832469526,46003.48643106328,45042.50199303885,44843.24397396764,45404.388671248525,44814.907811034245,45378.75848442895,45721.738250350296,44806.04084114008,45721.22327040544,45425.37010399796,45582.32865482109
SSP370,Rio_Grande_Crossing,ELSAL,38651.41625813732,49030.22899470693,48174.1292002576,42906.27845217116,40786.16865930273,45631.11001687804,47452.4860493617,41805.4323017495,48214.719554551426,47089.88411325507,54234.25549048974,44288.14351163467,44434.350237058556,52335.703376726706,57094.83447807134,46045.295179469555,45626.79208588136,46417.198836555865,53101.80883056272,47156.19948191548,43583.54636832852,51625.364844440744,51711.66461712262,49206.20980431364,51886.57854699055,55173.76110369725,48677.32824306287,53975.71093387388,51631.728947623495,47201.329330884015,54617.19581341292,48367.68997641332,43067.61587484606,55805.32050987385,61510.678814260384,55366.744516565384,54815.43135835459,55466.886023991625,57529.670163215604,53527.43167974344,59492.624152114855,59247.61088154917,55594.844458203224,49998.52914010504,46936.90992799165,64001.35639352349,56654.03116846035,48940.677132587414,52801.649016745505,60455.98611799019,61305.9437622522,59783.390245396986,55869.18738787105,57853.81654268573,60405.024827073474,57883.81439667857,61474.092308640014,61166.50164167366,64348.37970344169,59926.34747683256,54337.06432703538,58605.45689871209,61986.99513135715,58150.680213874635,60481.30985205938,64998.94383187507,66385.39360715622,66651.68128242993,59356.69675307594,63194.07971824946,65272.44144548212,61338.03223093917,60624.267083494946,65019.327699379464,65477.70928849737,65452.20648667121,68056.73462944299,64566.509210119155
SSP585,Rio_Grande_Crossing,ELSAL,34358.44661526931,38960.38857303268,46604.47422730379,39295.84271663723,43081.1553949321,50052.68312450673,41479.46276680203,29925.393707399027,42898.095066385256,46435.865939954885,46635.927527367545,37126.412065465855,38969.741853169624,49989.21353352638,49879.98844988296,44277.04481312064,48782.37686163415,41548.64895930335,43324.16061513559,40876.27842678655,50172.74217965988,52563.56560907315,44354.516248052,42514.86035681988,47475.01251360637,51972.80921413414,50264.85321083168,43137.969794865705,53206.188142934305,56347.734673911,52470.94806528285,58288.55534211721,47024.42847834421,46476.69112908348,51473.957686396694,58023.73086453117,44530.940483068094,54469.37089717351,56701.38967948453,51489.946734339035,56221.5641581852,59466.69360699561,53524.09697147349,53458.62189329948,52082.67107289072,56172.65923914596,60238.12940747746,65691.45321974797,62342.02850224054,58049.110736191506,61230.358428943764,72511.88027059523,56728.006697829085,57213.06189413489,63365.03617935102,63415.85288949403,58299.22036751233,64943.691500930145,67541.6807660108,66990.79431609932,64862.65831168207,63063.37838950781,64174.429808031186,65137.698431729885,58979.27593375087,66508.08201062829,68753.14706706388,69596.8623339144,70989.64579279974,71544.4310749437,72111.81275969058,70398.6832338905,71820.14600227379,68402.34081349285,68417.73014131493,77722.17911369553,70926.06373393904,69157.37507522924
