Year,Mexico,El Salvador,Guatemala,Honduras,Nicaragua,
2015,19.88927,25.31718,21.72717,22.93166,25.02042,
2016,19.54041,26.51096,22.83392,24.19738,26.17252,
2017,19.46042,26.65611,23.39803,24.87125,26.75394,
2018,19.23672,26.27565,23.01379,24.22175,26.33227,
2019,19.43021,26.25417,23.01202,24.23806,26.1068,
2020,19.95317,25.96471,22.60828,23.66808,25.76747,
2021,19.36625,26.40586,22.76146,24.02135,26.17045,
2022,19.60075,26.12305,22.91801,24.08405,26.35255,
2023,20.1624,25.41899,22.44292,23.5379,25.6243,
2024,20.30038,25.83941,22.32286,23.51994,25.63567,
2025,19.31391,26.53032,23.1733,24.34739,26.41856,
2026,19.24878,25.89172,22.79907,24.06793,26.31478,
2027,20.04064,26.23953,22.69311,24.04761,26.20687,
2028,19.71289,26.87064,23.19127,24.65096,26.91477,
2029,19.42323,26.1196,23.10144,24.29845,26.70505,
2030,19.58637,25.10352,21.68651,22.95095,25.34231,
2031,19.43444,26.26822,22.39625,23.88251,26.20628,
2032,19.60453,26.59402,23.27245,24.77352,26.90447,
2033,19.86712,26.62305,23.42922,24.69418,26.73547,
2034,20.05966,25.78876,22.62852,23.86199,25.7984,
2035,20.43049,25.9639,22.76391,24.12595,25.86048,
2036,19.55149,26.95493,23.3496,24.97903,27.03276,
2037,19.53729,26.95646,23.32452,24.84821,27.01911,
2038,20.0894,26.46952,23.22492,24.61189,26.73974,
2039,20.07362,26.88135,23.33075,24.8274,26.70329,
2040,20.1531,26.24941,22.96608,24.05539,26.35455,
2041,20.1996,26.41852,23.20688,24.61313,26.65745,
2042,20.20923,26.21211,22.63091,24.25687,26.59991,
2043,20.06278,27.04994,23.56411,25.05621,27.25207,
2044,20.27133,27.27376,23.92307,25.07728,27.1993,
2045,20.23299,26.5551,23.86025,25.06405,27.14211,
2046,20.5614,26.40277,23.21727,24.39359,26.43545,
2047,20.54435,26.85504,23.49308,24.79482,26.66474,
2048,20.42448,27.2662,23.87413,25.38768,27.6433,
2049,20.925,27.12558,24.00029,25.00504,27.37007,
2050,20.77514,26.50314,23.18374,24.33011,26.41709,
2051,20.51155,27.40959,23.82204,25.25615,27.14977,
2052,20.68445,27.70016,23.86764,25.60008,27.8997,
2053,20.76397,27.3667,24.20173,25.53753,27.76977,
2054,21.15658,27.89521,24.27892,25.92486,28.06744,
2055,20.96273,26.90491,23.74834,25.10488,27.46375,
2056,21.27295,26.86745,23.45053,24.93945,26.92715,
2057,20.9694,27.32302,23.86355,25.34886,27.42706,
2058,21.05491,27.91663,24.60673,25.99983,28.01551,
2059,20.54339,26.72817,24.09091,25.16635,27.48337,
2060,20.93869,27.62308,23.92044,25.4267,27.45473,
2061,21.08218,27.83278,24.72246,25.82435,27.91929,
2062,21.10828,27.38065,24.34801,25.44012,27.72615,
2063,21.24702,27.8126,24.43427,25.62109,27.76816,
2064,21.2563,28.11238,25.05368,26.23831,28.61403,
2065,21.87008,27.59524,24.91513,25.91994,27.96418,
2066,21.53949,27.60066,24.4275,25.84055,27.89417,
2067,21.41892,27.48956,24.84841,25.88264,28.06499,
2068,21.34543,27.86446,24.34298,25.70738,27.67871,
2069,21.27223,28.23718,25.19134,26.26614,28.52724,
2070,21.67676,28.7333,25.38355,26.77929,28.84264,
2071,21.56796,28.44673,25.43176,26.91662,28.80811,
2072,21.5596,28.07627,24.79327,26.19021,28.29668,
2073,21.43906,28.37037,25.12019,26.53667,28.96108,
2074,21.4854,29.3847,25.83257,26.92883,29.12565,
2075,21.5638,27.99253,24.88616,25.97588,28.30859,
2076,22.10435,28.0469,25.13322,26.2066,28.04924,
2077,21.88839,28.60514,25.1848,26.39399,28.66064,
2078,22.0839,28.6209,25.3661,26.6147,28.83111,
2079,22.13678,28.1772,25.60849,26.92465,28.75073,
2080,21.93342,28.77923,25.35206,26.46293,28.70982,
2081,21.88526,29.02147,25.65803,26.89856,29.34708,
2082,22.23759,28.98373,26.18432,27.09698,29.60728,
2083,22.54765,28.80575,25.56043,26.95996,29.17746,
2084,22.20912,28.65701,25.72649,26.9252,29.24416,
2085,22.71335,28.76704,25.51653,26.77747,28.95295,
2086,22.41291,28.86393,25.50852,26.65315,29.26796,
2087,22.93813,28.3276,25.65502,26.72694,28.88113,
2088,22.03715,29.00826,25.53755,26.93259,29.2473,
2089,22.86705,29.21912,25.98986,27.13793,29.65032,
2090,22.79187,29.30538,25.96234,27.42265,29.79084,
2091,22.66361,29.44046,26.3346,27.50047,29.92059,
2092,22.51452,29.50103,25.83045,27.56781,30.03917,
2093,22.60865,29.56272,26.10694,27.19622,29.6155,
2094,22.74244,29.42164,26.54802,27.39182,29.76409,
2095,22.86737,29.55927,26.60323,27.72728,29.8553,
2096,23.17567,29.26662,26.18469,27.54738,29.64212,
2097,23.40004,29.27923,25.70821,26.87507,29.03231,
2098,22.83418,30.11777,26.32809,27.40654,30.07777,
2099,22.5743,29.52474,26.75339,27.71608,30.14316,
2100,23.55295,29.37872,26.18637,27.4929,29.92449,
