Year,Mexico,El Salvador,Guatemala,Honduras,Nicaragua,
2015,19.37469,25.06869,21.90151,23.10472,25.16625,
2016,18.84149,25.64579,22.24038,23.41247,25.88385,
2017,19.49654,26.28123,22.67163,24.2438,26.58811,
2018,19.61143,25.83883,22.6531,24.03926,26.17648,
2019,19.25965,25.62963,21.94316,23.45321,25.62868,
2020,19.05993,25.68656,22.12039,23.45884,25.90246,
2021,19.74853,26.29663,22.59802,24.05259,26.43945,
2022,19.37493,25.50743,22.40179,23.75265,26.02776,
2023,19.43836,25.24021,21.8947,23.01073,25.30684,
2024,19.41022,26.41754,23.01121,24.5279,26.61868,
2025,19.32388,26.33273,23.20884,24.47981,26.58824,
2026,19.61125,25.7523,22.63594,23.68496,25.94357,
2027,19.98435,25.52549,22.30911,23.47897,25.73562,
2028,20.34552,26.08114,22.73272,24.01283,25.99237,
2029,20.08757,26.29712,23.48026,24.33835,26.16296,
2030,20.12502,25.67409,23.16786,24.29745,26.04128,
2031,20.33612,26.40548,23.38689,24.7408,26.33084,
2032,19.76587,26.29048,23.0176,24.53839,26.5315,
2033,19.84966,27.10445,23.81126,25.09308,26.80243,
2034,19.481,25.99846,22.81044,24.11351,26.45526,
2035,20.21222,26.02625,22.72827,24.00314,26.11871,
2036,20.08657,26.92526,23.57941,24.9734,27.08079,
2037,20.36518,27.47127,24.15203,25.61852,27.45045,
2038,20.13725,26.24132,23.02526,24.59058,26.61332,
2039,19.68914,26.20567,22.83304,24.26598,26.1998,
2040,19.67859,26.30583,23.01731,24.59911,26.55795,
2041,20.30872,27.06815,23.30942,24.99609,26.92493,
2042,19.92711,26.41158,23.20145,24.4741,26.63729,
2043,19.70719,26.02159,22.88224,23.90789,26.25681,
2044,19.90034,26.93638,23.46968,24.721,26.75866,
2045,20.13788,26.95744,23.79356,25.23375,27.39226,
2046,20.39113,26.68734,23.0034,24.30136,26.73929,
2047,20.47351,26.99982,23.4691,25.13288,27.227,
2048,20.52116,27.38047,23.98605,25.42842,27.28783,
2049,20.09118,26.66202,23.2714,24.77145,26.92008,
2050,20.93224,27.26861,24.09305,25.44782,27.3669,
2051,20.77015,27.01665,23.80347,25.19261,27.33331,
2052,20.50837,26.5303,23.08657,24.23865,26.89069,
2053,20.73382,27.37477,24.19257,25.68331,27.57764,
2054,20.52568,26.68406,23.56103,24.94366,26.95268,
2055,21.0615,26.10001,22.72692,23.94749,26.13211,
2056,20.80062,27.54234,23.58208,25.13838,27.59134,
2057,21.39581,28.19465,25.12182,26.4666,28.52945,
2058,21.12222,27.5158,24.46207,25.86199,27.70081,
2059,21.11981,27.46523,24.01287,25.34468,27.84405,
2060,20.94886,27.54978,24.25967,25.28941,27.49795,
2061,21.15614,27.79288,24.25684,25.61318,27.71152,
2062,20.79266,27.35463,24.0809,25.18159,27.39122,
2063,20.68879,28.03613,24.47709,25.82489,27.7546,
2064,20.77134,28.01997,24.57421,26.09736,28.53448,
2065,20.82598,27.62098,24.73961,26.04105,28.10037,
2066,21.23326,27.00365,23.96615,25.2385,27.11779,
2067,21.02758,26.67107,22.98051,24.51454,26.82688,
2068,21.47935,28.59947,24.80549,25.93043,28.17704,
2069,21.17683,27.78543,24.88906,25.81128,27.93461,
2070,21.11143,26.93027,23.57235,24.59845,26.94089,
2071,21.24227,27.37538,23.55466,25.18328,27.5378,
2072,21.3617,28.24664,24.68449,25.96641,28.191,
2073,21.90432,28.35349,25.11733,26.38189,28.78738,
2074,21.81048,28.19381,25.18757,26.48713,28.44507,
2075,22.10819,27.76545,24.75732,26.00704,27.79524,
2076,22.03443,27.99977,24.57057,25.75528,27.66181,
2077,21.5301,28.29774,24.902,26.36728,28.27674,
2078,21.2391,28.02587,25.12063,26.47749,28.60664,
2079,21.99346,28.44057,25.19717,26.42378,28.27844,
2080,21.55369,28.41738,25.31549,26.52529,28.61254,
2081,21.64445,28.7862,25.65589,26.96936,28.96707,
2082,21.40912,28.30079,25.10905,26.35361,28.91284,
2083,21.72274,27.68425,25.03949,26.05145,28.24478,
2084,22.13008,28.17513,24.67018,26.0592,28.45638,
2085,22.6603,28.56638,25.57496,26.87638,29.01303,
2086,21.41312,28.14677,24.61571,26.14215,28.97633,
2087,22.07178,28.41996,25.01302,26.40351,28.89693,
2088,21.87265,28.93884,25.82993,27.09388,29.22983,
2089,21.74146,29.10596,25.67067,26.82795,28.73054,
2090,21.9834,29.14724,26.02142,27.4416,29.47737,
2091,22.46926,28.33908,25.36619,26.4705,28.47676,
2092,22.59994,28.78154,25.20645,26.4269,28.63431,
2093,21.86928,29.02639,25.74841,26.64388,28.93048,
2094,22.33781,28.59576,25.77133,27.04975,29.18157,
2095,22.65059,28.52694,25.25018,26.50619,28.57759,
2096,22.28816,29.03205,25.47715,26.78995,29.27541,
2097,22.17725,29.09491,25.61351,26.9568,29.3875,
2098,22.00862,29.10341,25.67109,27.1536,29.51332,
2099,22.29219,29.40737,26.08438,27.36037,29.44352,
2100,22.18859,29.02664,26.03697,27.33869,29.38865,
