Year,Mexico,El Salvador,Guatemala,Honduras,Nicaragua,
2015,19.57077,24.96473,21.81395,23.15651,25.13655,
2016,19.63604,26.64303,23.15492,24.50018,26.31218,
2017,18.9351,26.4599,22.59657,24.01914,26.53126,
2018,19.13829,25.56606,22.83162,24.0012,26.3099,
2019,19.47296,24.8726,21.90328,23.37775,25.37274,
2020,19.97707,25.36008,22.13909,23.26389,25.50936,
2021,19.48043,25.93231,22.57767,23.96359,26.20945,
2022,19.59498,26.36784,23.35218,24.60482,26.61876,
2023,19.40919,25.53867,22.60603,23.82844,25.9696,
2024,19.59086,25.19857,21.98482,23.12811,25.36537,
2025,19.72265,25.85954,22.90833,24.08997,26.16538,
2026,19.69885,25.67168,22.83202,23.93932,26.22443,
2027,19.89257,25.81631,22.51316,24.0346,26.04153,
2028,19.73975,25.94662,22.7697,23.99362,26.00146,
2029,20.13309,25.59197,22.32637,23.75335,25.77813,
2030,19.88796,26.58393,22.76237,24.02542,26.13834,
2031,19.67481,26.50145,23.42514,24.48415,26.73463,
2032,19.34542,25.65519,22.21531,23.53556,26.1102,
2033,19.20883,25.6782,22.69014,24.04414,25.89452,
2034,19.75536,26.14185,22.78033,23.91515,25.99417,
2035,19.55015,26.87332,23.39344,24.81998,26.97121,
2036,19.47733,25.68625,23.11756,24.24425,26.6489,
2037,20.0494,25.79955,22.29571,23.8439,25.96558,
2038,19.6161,25.93413,22.55322,23.90864,25.99128,
2039,19.8066,26.74779,23.43238,24.80286,26.61274,
2040,19.95544,25.9459,22.7914,23.83617,25.90392,
2041,19.9819,26.20116,22.90466,24.24467,26.05638,
2042,19.49684,26.03871,22.91735,24.1095,26.34937,
2043,19.35408,26.0782,22.97345,24.29993,26.39338,
2044,20.29844,25.97631,22.93347,24.17717,26.1604,
2045,19.91722,25.92086,22.88031,23.93223,26.0585,
2046,19.54372,26.13611,22.61083,24.12567,26.20848,
2047,19.96526,25.93478,23.01413,24.25453,26.44889,
2048,19.94844,25.93022,22.51168,23.88438,25.71715,
2049,19.95431,25.79952,22.63914,23.76406,25.79477,
2050,19.98578,26.28313,23.04935,24.2403,26.04671,
2051,19.81366,26.93277,23.88915,24.98564,26.87372,
2052,19.56275,26.12257,23.5228,24.62545,26.55941,
2053,19.76646,26.37527,22.97144,24.44231,26.53705,
2054,19.79856,26.30095,22.78584,24.25888,26.61944,
2055,19.96197,25.62163,22.70428,23.88787,25.92345,
2056,19.93256,25.30091,22.09075,23.11697,25.42485,
2057,19.81594,26.13087,22.72993,24.27662,26.36215,
2058,19.82647,26.49625,22.79693,24.2323,26.41504,
2059,19.26441,25.71207,22.59293,23.62617,26.16767,
2060,19.43295,26.06801,22.72148,23.87643,25.9027,
2061,19.8191,26.27654,22.73674,24.30085,26.16064,
2062,19.50079,26.06791,22.98401,24.14276,26.38546,
2063,19.65545,25.65607,22.934,24.12148,26.12958,
2064,19.63478,25.26947,22.26527,23.49923,25.66639,
2065,19.94009,25.64679,22.344,23.82207,25.7071,
2066,19.37284,25.61265,22.54644,23.78275,25.62328,
2067,19.71682,25.84622,22.74854,24.19307,25.99937,
2068,19.20749,25.62068,22.76351,24.09212,26.13799,
2069,19.62355,25.79341,22.41726,23.94988,26.16617,
2070,19.40683,26.42542,23.35761,24.4362,26.36756,
2071,19.80547,25.89702,23.07121,24.24151,26.56913,
2072,19.52006,25.41586,22.29899,23.58392,25.63632,
2073,19.28103,26.29443,22.84468,24.31853,26.28746,
2074,19.85067,26.11571,23.33217,24.42602,26.71596,
2075,19.31475,25.19384,21.82795,23.34886,25.70074,
2076,19.83112,26.03407,22.68627,23.89753,25.98207,
2077,18.83339,25.87774,22.73491,24.25955,26.20739,
2078,19.89971,25.363,22.26629,23.5736,25.9064,
2079,19.63399,26.41567,22.81012,24.04479,26.07122,
2080,19.08387,25.83566,22.97554,24.22995,26.28102,
2081,19.33808,26.02937,22.59857,24.04854,26.21977,
2082,19.57081,26.02882,22.72197,23.97218,26.01573,
2083,19.68801,26.11144,22.8997,24.36867,26.22596,
2084,19.62778,25.66951,22.82648,23.873,26.13986,
2085,19.5072,25.4903,22.67903,23.46538,25.52104,
2086,19.33954,25.57157,22.80287,23.91534,26.02947,
2087,19.82755,25.64291,22.45427,23.72805,25.76843,
2088,19.1521,25.16502,21.93499,23.11311,25.35052,
2089,19.53882,25.53476,22.54189,23.62241,25.40608,
2090,19.59431,25.99722,23.12309,24.10236,25.9949,
2091,19.46267,25.69865,22.44496,23.85,26.2821,
2092,19.52808,25.7912,22.84171,23.94949,26.03182,
2093,19.3731,25.31205,22.19093,23.55846,25.64389,
2094,19.65426,26.75225,23.11195,24.49206,26.52723,
2095,19.69802,25.73949,22.90325,23.94551,26.14744,
2096,19.40793,25.84011,22.76639,24.01481,25.75627,
2097,19.38264,25.34095,22.61628,23.84352,25.7709,
2098,19.3931,25.57677,22.73021,23.92735,25.56953,
2099,19.35252,25.77786,22.69247,24.00237,26.02892,
2100,19.14087,26.12978,22.79215,24.13177,26.27171,
