Year,Mexico,El Salvador,Guatemala,Honduras,Nicaragua,
2015,19.533,24.95147,21.94238,22.94168,25.00204,
2016,19.72598,26.23247,22.67532,23.7791,25.96222,
2017,19.34731,25.64657,22.79635,23.72006,26.02573,
2018,19.23493,25.42076,22.19448,23.50254,25.5272,
2019,18.91906,25.42793,22.11234,23.34418,25.51472,
2020,19.24018,26.95002,23.25587,24.72473,26.57042,
2021,19.82156,26.19684,22.92325,24.1105,26.52017,
2022,20.06181,25.55354,22.34335,23.73798,25.88599,
2023,19.77164,24.8457,21.81215,23.14575,25.25006,
2024,19.77801,25.69468,21.93985,23.47139,25.45253,
2025,19.91847,26.16213,22.61891,23.87705,26.02339,
2026,19.93254,25.90492,22.89677,23.99109,26.165,
2027,19.42293,25.82905,22.74691,23.93996,25.83139,
2028,19.61877,26.555,22.96437,23.94423,26.21362,
2029,19.53964,26.02078,22.91187,24.13079,26.3321,
2030,19.72178,26.54323,23.26943,24.44781,26.61208,
2031,19.68693,26.25784,23.2922,24.56621,26.37786,
2032,19.81284,25.72148,22.4176,23.58722,25.7373,
2033,19.68478,26.20992,23.1564,24.50692,26.56766,
2034,19.69264,25.78967,22.94983,23.85546,26.26768,
2035,19.24448,25.80849,22.177,23.55776,25.78565,
2036,19.76887,26.36554,23.09654,24.22178,26.45279,
2037,19.86816,26.00363,22.97087,24.26546,26.55728,
2038,19.93399,25.87103,22.84506,23.99465,26.09837,
2039,20.14654,25.66335,23.23361,24.4959,26.26387,
2040,20.05572,25.57023,22.28707,23.77559,25.65052,
2041,19.92564,26.40235,23.30199,24.35654,26.44849,
2042,19.95757,26.34808,23.61472,24.49554,26.69015,
2043,19.8359,25.95785,23.07839,24.18195,26.43102,
2044,20.35414,25.84777,22.80829,23.97445,26.20162,
2045,19.58026,26.03894,22.51149,23.93575,26.10868,
2046,19.87591,26.20456,22.86967,23.97944,26.39309,
2047,19.67585,26.18401,23.20815,24.31183,26.35608,
2048,20.07366,26.26287,22.9265,24.31315,26.46728,
2049,20.63082,26.44513,23.52932,24.53642,26.70317,
2050,19.67749,26.60185,23.11917,24.40558,26.58651,
2051,19.89705,26.40308,23.43326,24.47831,26.65214,
2052,19.82346,26.30422,23.0255,24.5023,26.61642,
2053,20.02647,26.2729,23.00801,24.24776,26.25543,
2054,20.10067,26.94383,23.6446,25.05281,26.94995,
2055,19.84579,26.50183,23.64941,24.74825,26.68242,
2056,19.76887,26.38952,22.96275,24.4741,26.65637,
2057,19.91606,25.82107,23.00329,24.3435,26.5752,
2058,19.99648,25.3975,22.27227,23.64058,25.74398,
2059,20.17186,25.96636,22.7385,23.95846,26.07457,
2060,19.76488,26.5483,23.25748,24.61115,26.81769,
2061,19.65193,26.36745,23.15999,24.51339,26.82202,
2062,20.47238,26.59591,23.48717,24.71985,26.80504,
2063,20.25389,26.20145,23.27242,24.30659,26.29747,
2064,20.38927,26.06509,23.18246,24.35926,26.33625,
2065,20.42437,26.35266,23.12614,24.34428,26.46255,
2066,20.20291,26.95748,23.76415,24.98372,27.03849,
2067,19.71435,26.18219,23.26779,24.30451,26.64729,
2068,19.9492,26.58694,22.97524,24.55252,26.74948,
2069,20.20708,26.5278,23.57228,24.79869,26.91107,
2070,20.22906,26.26732,23.47998,24.35596,26.50515,
2071,20.43163,26.38437,23.24606,24.46218,26.35542,
2072,20.36516,26.48601,23.12563,24.47722,26.54471,
2073,19.78949,25.74946,22.74704,24.22955,26.30175,
2074,19.81651,26.03984,22.63161,23.87639,26.21392,
2075,19.6653,25.8378,22.9234,23.9681,26.07941,
2076,19.63782,26.25135,22.9142,24.30296,26.04131,
2077,20.31903,26.18854,22.79031,23.97589,26.47663,
2078,19.99183,27.03665,23.12652,24.45517,27.03535,
2079,19.95086,26.85189,23.52414,24.58354,26.4027,
2080,19.91563,26.60137,23.30785,24.42902,26.68495,
2081,20.0439,26.53491,22.97151,24.37668,26.65601,
2082,19.5699,26.56239,23.0818,24.7612,27.13159,
2083,20.05348,26.05048,22.91444,24.25711,26.56319,
2084,19.94712,25.64559,22.73741,24.03482,25.95636,
2085,19.82434,25.96184,22.20419,23.87557,26.15403,
2086,20.21299,26.70642,23.31191,24.76809,26.85342,
2087,19.63766,26.19836,23.19101,24.39212,26.42419,
2088,19.6552,25.83204,22.9838,23.91876,26.1924,
2089,20.0965,26.08327,23.23458,24.63258,26.40506,
2090,19.76937,26.35178,23.30154,24.49777,26.40852,
2091,20.26579,25.59676,22.69395,23.49876,25.79526,
2092,20.09286,26.12546,22.81362,23.89057,26.26517,
2093,20.036,25.75543,23.1003,24.12358,26.11721,
2094,19.81423,25.63719,22.68225,23.89561,25.83503,
2095,20.06433,25.82209,23.0837,24.13084,26.02372,
2096,19.88798,25.85997,22.44864,23.9275,26.23994,
2097,19.71499,26.18792,23.07768,24.35647,26.57247,
2098,19.67341,25.88204,22.71121,23.90191,26.17102,
2099,19.84693,26.46008,23.32663,24.76145,26.77915,
2100,20.49503,26.59598,23.59003,24.95761,26.83811,
