CSV,Type_of_Variable,Country,Country_Code,Variable,Unit_of_Measure,New_Data_Type,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
POPULATION VARIABLE,POPULATION VARIABLE,Honduras,HON,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Share of Population,Integer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121028.389,83708.98533,87753.166,92027.36139,98452.70586,137541.4352,108208.179,135556.7115,134278.5675,140082.067,149296.6091,155150.5241,211446.2972,246985.2375,209228.3079,157194.1865,146014.7466,148442.3272,159535.7094,206102.868,230524.4575,199232.3738,309045.6775,398533.4614,356016.9926,400272.2561,337583.2187,351774.908,355847.0745,700661.1865,551774.3564,479015.6423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POPULATION VARIABLE,POPULATION VARIABLE,Honduras,HON,Victims of intentional homicide,Person,Integer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495.5328,703.793238,955.106152,1252.52276,1682.445375,1534,2563,3176,3488,3623,4073,3639,3212,6236,7176,8910,10560,12472,18598,24547,43124,40228,35851,40528,22866,36714,36324,32231,35067,3661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POPULATION VARIABLE,POPULATION VARIABLE,Honduras,HON,Prevalence of severe food insecurity in the population (%),Share of Population,Integer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1319819.71,1333972.518,1357384.722,1370999,1453989.034,1811795.577,2415411.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POPULATION VARIABLE,POPULATION VARIABLE,Honduras,HON,Prevalence of undernourishment (% of population),Share of Population,Integer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1572459.392,1555606.296,1624349.54,1702037.925,1750415.2,1751306.102,1717576.724,1738233.42,1571873.538,1414090.656,1239723.747,1281373.951,1378304.746,1449942.78,1466423.69,1434399.458,1400377.55,1404194.889,1467655.635,1665091.89,1950944.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POPULATION VARIABLE,POPULATION VARIABLE,Honduras,HON,Corruption,Counts,Integer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1359,1489,1286,1277,2221,387,256,199,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POPULATION VARIABLE,POPULATION VARIABLE,Honduras,HON,Government Effectiveness: Estimate,Rate (0 to 1),Float,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.579896092,-0.685433745,-0.761468172,-0.716462851,-0.680190563,-0.660407066,-0.553879499,-0.622831583,-0.674577832,-0.636895478,-0.520890951,-0.691542149,-0.723534107,-0.811582029,-0.85882622,-0.763203442,-0.531442285,-0.618283272,-0.619096458,-0.645444572,-0.818129122,-0.866467357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECONOMIC VARIABLE,ECONOMIC VARIABLE,Honduras,HON,GDP (current US$),USD,Float,0,0,0,0,0,508650000,549950000,598100000,646800000,668000050,723000000,731000000,802996336.5,912499493.8,1034500000,1124000000,1347999950,1669499950,3097242093,3544281976,3968160046,4043894879,4266503526,4476697185,4915311847,5278120713,5677828959,6190521242,5902717091,5432344902,4923009552,4648668479,4943700431,4926728933,4642280682,5347445005,5215028986,5737099650,6366340266,6414520530,7186638029,7651162302,7858255413,8230391347,8869299234,9757012697,10917477066,12361257681,13881731876,14587496229,15839344592,17710275685,18528554398,18499729215,19756533972,20979791685,21717604952,23136247991,24067750760,25089937022,23827859227,28488721681,31717699764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECONOMIC VARIABLE,ECONOMIC VARIABLE,Honduras,HON,GDP per capita (current US$),USD,Float,161.4775594,166.4541985,176.0216519,180.8874864,195.7599341,211.6319564,222.2448528,234.7794718,246.5895687,247.2809463,259.8146512,254.9258047,271.6477104,299.5027411,329.8221384,347.8119872,404.2204303,485.1615113,872.3721296,967.6596884,1050.336302,1038.031037,1062.469765,1081.90693,1153.309541,1202.93756,1257.389759,1332.517655,1235.365479,1105.556187,974.2294838,894.5102094,924.9596767,896.2836897,821.2161476,919.9379933,872.5818384,933.7557079,1009.162705,990.297834,1079.605666,1118.940894,1119.424273,1142.81135,1201.247505,1289.823114,1409.579748,1559.886044,1713.418164,1762.34916,1874.271704,2053.959695,2107.345428,2064.550536,2164.42455,2257.225284,2295.53627,2403.306088,2457.686042,2519.366185,2354.121434,2771.722654,3040.173046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POPULATION VARIABLE,POPULATION VARIABLE,United_States,USA,"Population, total",Person,Integer,180671000,183691000,186538000,189242000,191889000,194303000,196560000,198712000,200706000,202677000,205052000,207661000,209896000,211909000,213854000,215973000,218035000,220239000,222585000,225055000,227225000,229466000,231664000,233792000,235825000,237924000,240133000,242289000,244499000,246819000,249623000,252981000,256514000,259919000,263126000,266278000,269394000,272657000,275854000,279040000,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309327143,311583481,313877662,316059947,318386329,320738994,323071755,325122128,326838199,328329953,331511512,332031554,333287557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POPULATION VARIABLE,POPULATION VARIABLE,United_States,USA,Rural population (% of total population),Share of Population,Integer,54208526.84,54414784.93,54549307.34,54626595.72,54673013.88,54639946.63,54551296.8,54423242.56,54242803.56,54047875.59,54129626.96,54795508.07,55364267.92,55874046.03,56365498.78,56902406.31,57423877.95,57982321.53,58579920.3,59207469.4,59673829.5,59913572.6,60135341.12,60332363.52,60503262,60684895.44,60888123.48,61073788.23,61266559.42,61485081.09,61656881,61471853.19,61314541.42,61112155.28,60847887.5,60559605.54,60247274.16,59962727.44,59647910.42,59318323.2,59093273.74,59176653.2,59224903.49,59231336.68,59272576.47,59316091.75,59380586.29,59435929.45,59486861.63,59495270.33,59477423.06,59375348.14,59263241.36,59106370.69,58955596.54,58788250.21,58598754.92,58333412.21,57994170.03,57592357.06,57470835.72,56867044.25,56378923.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
