Scenario,Crossing,Country,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
SSP119,Tucson_Crossing,MEX,53296.741103761764,60027.710321272636,64835.313835365305,63643.38908572781,70839.00458884779,64672.08699528449,79565.02129785034,69838.64323751592,61345.409427288025,48369.9777548839,42828.88665222818,63628.80555997962,55441.73702010333,52359.60804469271,74144.34571878934,57162.159229982084,64233.61199122161,69698.66107955798,70444.75477927494,51466.710054522795,45687.704629692154,81827.89173694034,66853.90263855056,52177.595641812455,68157.91793227736,67235.14098957376,67187.2872186937,68126.56580562261,61215.44295792966,51266.188919933724,58847.01740174558,59810.58869904245,65837.45491446,64429.209362974434,59658.15861912528,59789.99378525265,37842.84001552846,44067.51830108488,58683.20722659425,46135.01877780441,51824.48623811143,50753.25384315927,62251.76387002529,40104.48443869834,53094.104163863994,33180.21169207977,48949.22596220125,40318.33345988804,55415.63500840668,44136.06587883225,34644.90295063191,56335.94017045209,35396.74108170926,55033.69468041698,16287.167694809774,57130.11505043186,46609.789519500206,25123.040451035275,34651.14174805626,43350.97730110318,47595.99249095999,44999.33212433122,40075.584343883376,33336.438461652535,51879.834495225085,25560.37845784647,40198.046502260346,42063.53287178961,36713.3130648821,38961.31322306236,32711.10633680879,43278.39579956995,44691.575037962546,33231.545774226186,31982.166836575565,32111.302812662045,30272.343650366995,21836.94962672947
SSP245,Tucson_Crossing,MEX,60510.85660726858,60310.360380110025,54057.154480872094,58506.87919732273,59979.849863577605,59643.6289207606,67373.36759895635,61689.4514792856,71661.2399309012,63120.50705317029,57879.3456916978,58853.95216764443,50911.2563182833,61808.6119280695,40996.102676223396,62804.45300573705,70921.3370100209,71292.95816067251,52069.559121327125,64735.57743203696,53876.92089470217,68152.78513836062,58071.01121825811,57806.42276426091,66035.70379869937,73896.45452881533,55302.667364885274,67425.78681296155,82419.62537712551,66944.44344190921,72110.96431293097,82829.47433385473,76696.20572675244,70591.92000163962,74591.82096428474,78333.70358726692,69650.4126314573,69986.92443725978,79427.12441921319,60690.77917720451,72979.78438886322,73767.76938077943,77571.1522655443,75253.72748721341,83950.7403976623,71384.92142118652,81676.46410743486,89772.14112489711,85801.74954041389,77910.89299217238,77691.07484368757,76359.06805300173,75635.93741728361,67785.6097771901,72046.35667774142,74044.78935079869,85242.10600751749,79803.71966860381,82501.98290677492,80818.175768037,88053.79165328879,81180.16357292472,77089.83469630586,91687.80950646612,88841.62385671602,85605.93654900885,78268.1110904381,66293.26014672495,93936.12381724219,80761.19305261178,77529.27587589511,83734.9391011764,94518.01261531276,79458.95888817422,78113.5210058347,87599.19819286122,77055.34759323415,80333.97537075705
SSP370,Tucson_Crossing,MEX,59947.17963843845,58459.756727196786,54451.382461244495,66630.37470334893,82522.78893238389,97898.45144901838,86456.73591189952,87810.36453597518,96685.69767457845,71716.60914646073,75077.46948492287,58840.31538285535,90244.81035328138,84533.71104001501,96333.26111945191,86191.87134983162,66513.31544137636,65787.8089275464,92813.5586669125,76015.47123076394,66221.03713728163,74318.86036493882,84339.45044200507,95040.52412358175,98340.30986736789,100135.75470824845,81242.50546750647,117404.75467850671,110115.24527304702,98507.63207804944,108004.53999225573,98720.3603138678,121661.04266040259,110092.41324924082,135604.72586947313,123485.55879991986,123112.6389532265,115439.35585356163,124149.22448743982,108136.44371900464,103368.75197456304,106675.90132196252,108774.12021730078,126147.05192578594,116969.42792321555,136269.4580126471,122897.17886935195,119795.82730731093,125194.67323407446,130099.2914124314,153334.51790350318,149001.27877225305,161628.15137531492,158164.68377675538,136050.94083802818,123177.65412783057,155584.46549598864,136267.15931774458,139929.92740435674,129468.00430097604,142784.02357162265,160159.55419903016,182857.67077947626,128567.14581589004,156828.68150284883,147934.77281597184,141983.7066555389,152194.88412024657,172971.5333107447,178363.44878704852,146446.15051994234,166472.14529502596,179751.77970075933,163784.48001346583,158711.8484487979,151139.05688079848,163153.45092448554,158397.45431519474
SSP585,Tucson_Crossing,MEX,53320.68826735208,52444.9161653741,59405.80859429823,59945.57736374313,54512.69894003782,56882.75348395517,58987.34620032832,57936.22572394728,59080.93244642021,57981.375117809366,56237.154648010845,54981.13583270098,52482.554947744116,58694.45334657704,58879.2740751497,55117.292820090195,55313.125092047456,54845.058868550266,54606.84118987872,54625.58275461885,55732.097541808456,54364.49973308865,54717.56011818315,52514.61826510928,52719.3015877618,53640.57155016468,50238.13809460641,51368.418301379264,53291.32055190636,52172.179402466005,51703.83440571855,49053.46148600414,50490.32257473208,48414.152857206405,50615.54958472655,50105.45829375515,53756.2668426029,51087.14642180965,50172.97330461062,50076.92998356317,49195.86118983049,49217.04202051034,45025.262106888134,47415.10955157281,48341.25804585494,48939.29042460076,49535.30169728224,46801.85434899543,47645.97381439345,47790.09364843064,48716.03306277506,48478.93047710451,48018.391131363875,44336.97534562465,45927.92834842451,44651.21061928404,44368.528607198685,45871.668036171875,46293.167254201166,43923.51899748173,41848.46437295705,44293.64830781503,40865.358633296724,43045.080740610465,39470.50480302695,45835.58910286859,40137.59731818184,40747.40786675045,41727.1505183919,42852.064340097495,42281.89741369869,41435.326809683706,40650.50448059752,38587.71587908351,37109.863249892485,41139.385259195726,43036.431290762805,36301.75148173371
