Scenario,Crossing,Country,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
SSP119,San_Diego_Crossing,MEX,43052.85376362066,48665.73354840226,52675.70559971998,51685.7495385746,57685.859439399464,52549.809637846934,64964.76400046136,56862.30656306166,49787.535358945446,38977.359284383165,34362.865066513725,51700.62287117603,44881.00578501687,42315.77833063973,60474.27116963775,46324.91821888786,52221.552520238954,56779.43108429836,57404.594162766065,41591.919153393625,36779.150261998395,66901.28624637098,54425.53864363238,42197.87539739621,55519.0446373901,54753.39282603587,54716.89050289923,55503.051330858754,49746.7906380501,41458.59128606706,47779.732627495425,48586.13868143898,53612.228265477825,52441.99328723681,48469.24059778121,48582.48867636753,30295.397157838735,35486.34072489015,47670.24242905217,37216.125249573655,41961.03113939015,41071.65850257813,50657.74422491945,32203.870606617602,43032.62758102477,26440.029342078073,39585.097251290455,32395.603099931363,44980.87444304632,35584.00795384375,27677.57572041627,45757.979830618766,28310.904514029517,44679.4622938065,12391.993625353423,46433.34827799489,37669.22543899097,19765.829155778098,27709.802103861042,34963.50925172739,38504.62757747885,36343.98328998859,32243.9748943477,26631.03754739404,42088.238805097324,20157.327962240717,32359.546775626462,33917.597013325445,29462.172428187543,31339.004636936308,26133.542632010114,34943.56135829777,36124.66476934217,26577.405172829862,25539.567545468348,25650.566154501004,24121.380106035595,17094.811820928862
SSP245,San_Diego_Crossing,MEX,52912.008317138636,52331.53559812762,38583.70718613002,48119.54873507911,51179.616372341414,50303.88157994066,66975.22323580676,54465.85518719344,76014.65973941825,57290.435132165665,45744.25707643292,47720.15928796766,30296.933191588003,53859.2610498451,8438.423973610428,55737.05445045846,73250.61066635772,73914.74960392676,31950.939303629508,59360.9010557455,35594.15385138497,66506.25186287306,44429.572464008685,43709.67043256369,61467.74055298883,78424.09212691836,37829.96977817846,64058.88323673615,96532.89711214474,62723.13855040513,73818.33292444359,96991.59148807781,83504.68042912763,70080.82012543248,78638.09344851192,86634.06126749136,67599.70896162631,68187.46934201648,88579.83077346507,47675.5807261129,74265.37005214657,75835.28691277033,83965.04535875456,78779.3044672907,97554.90100382446,70074.31053260958,92318.72382370546,109786.14534063771,101004.460968569,83694.00858077592,83071.50202492825,80029.48681213745,78312.05006746974,61089.766215480384,70214.49633585576,74417.6792919702,98632.55683672929,86657.32608060211,92382.9541026322,88575.61549475322,104172.01866468498,89074.49400401546,80031.8922788993,111644.72510692148,105308.6923878772,98125.31903113666,82017.95707085315,55822.986877522526,115814.298255762,87008.61670865776,79833.4450761779,93189.23969960581,116502.9527912066,83598.45954475566,80527.22568928564,101018.52041963035,77936.61719104872,84924.79814147929
SSP370,San_Diego_Crossing,MEX,49271.67626746203,47727.836197087236,43536.58718271479,56344.70580513607,73052.52148544262,89217.663820356,77220.197471285,78659.92359741902,87998.66283567021,61795.25467885882,65342.90057243023,48309.44377335972,81307.46720322741,75328.0799485019,87737.72258553792,77105.80978455668,56458.32136004569,55714.61742927448,84114.24618304727,66491.71814987401,56224.16523963878,64746.392612859614,75287.83790745595,86543.90166442699,90027.40930007694,91931.11431330323,72108.32561653607,110102.76482662231,102465.7902536961,90294.10438133459,100285.59823034811,90553.89544657835,114663.5390197939,102532.79246099945,129343.06608584987,116634.16544323738,116260.73485961641,108220.73548868633,117385.71008490874,100587.88177947908,95599.22591307442,99090.46653017569,101312.13354543904,119574.73337876702,109954.93138541363,130241.29795273564,116216.42581957577,112977.69816752827,118665.56039812898,123834.40310895252,148253.3659402297,143720.95597946589,156999.42182664547,153380.413439687,130175.58256102582,116674.7336415232,150725.35231132412,130457.23485920049,134321.9329922851,123353.40805753102,137355.58999232235,155620.9191132212,179475.82917979796,122480.14376421725,152177.54875806326,142855.693991225,136624.30251743167,147365.8955672445,169202.9523562311,174883.53648664188,141383.37800841025,162432.12557060164,176396.09747939731,159646.03170646232,154337.13943171146,146402.67251353202,159037.93625644827,154061.56218411354
SSP585,San_Diego_Crossing,MEX,35517.796340534376,33057.292364294524,51729.76772577808,53086.52501796726,38336.961920067326,44629.41491564293,50206.002214234315,47272.639720375104,50260.721310233654,47196.74010820847,42394.308473759025,38908.400653269804,32071.70010200312,48724.37797189057,49123.95385301643,38880.26633537275,39309.536829290155,37948.4852886916,37207.26180497238,37158.97526658818,40044.06541461236,36257.26471387327,37110.52917271489,31071.072592728513,31524.21154123167,33909.75560824139,24635.65358042221,27584.831468711975,32671.45765624074,29554.665149187313,28192.861846239448,20946.826695857122,24722.755227631624,19025.16257592417,24862.799350260164,23388.419635526196,33134.65680371375,25838.065635350627,23274.006395514432,22916.181709865057,20441.39424899119,20399.68563116213,8996.968511706555,15342.796634072285,17741.496542192283,19255.37216535506,20763.79751148649,13293.737181055489,15471.231017936228,15761.0495960851,18159.185682443116,17420.969248120673,16080.21529094923,6053.787092211857,10245.252262482592,6703.526087568465,5842.396509158857,9797.056539445237,10834.878655004863,4345.8681902229655,-1348.717412087863,5146.335536585501,-4197.4924491178945,1581.6948025711406,-8156.6204758520325,8909.150804896966,-6555.338287050675,-5009.7007046360295,-2466.474484890709,468.2319781777049,-1168.1525227994518,-3549.9093929651244,-5765.150902792776,-11426.658961740723,-15510.7816715712,-4743.275352054619,273.6248775897868,-17986.480450283303
