Scenario,Crossing,Country,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
SSP119,Rio_Grande_Crossing,MEX,31974.30070244502,30795.943268168798,29958.325057674534,30183.57003539675,28922.896890483556,30029.500622262498,27405.187464290808,29142.37735780421,30661.106137112543,32973.89119894731,33969.62489059031,30298.84337473648,31763.33259035541,32323.441977656476,28478.192142328076,31500.805045846566,30262.128298298576,29308.038480637482,29189.94838644145,32566.143130837165,33604.025198798015,27215.59561964862,29882.44070491199,32496.549085933242,29679.596671533087,29857.160017699603,29879.723905413575,29727.409602894637,30965.85509527888,32742.529205180803,31413.61257900092,31256.9946335192,30203.37453337005,30466.942426998787,31326.257467901472,31316.988060049614,35219.183611005275,34130.519561016496,31555.322582254772,33792.41817737933,32798.570896157464,33002.434282651964,30979.46983898514,34917.119210538825,32629.99306311001,36171.98052926167,33392.46297745822,34935.57906688894,32275.060658595576,34287.41045455358,35982.93015430054,32154.28008468566,35877.908608583195,32413.15546059755,39291.49089978679,32069.93069248088,33947.77456790426,37768.405837946615,36094.514656815045,34567.35720717579,33829.40590275573,34303.510742594546,35189.87725354891,36397.85568622853,33126.834783360304,37803.61775582033,35224.527004854164,34908.12777540573,35870.04712948418,35485.88260132048,36607.24168040032,34749.250216972745,34512.98072078339,36557.30043589334,36792.7238707815,36783.932645481036,37123.804811957496,38632.28682230687
SSP245,Rio_Grande_Crossing,MEX,29879.19103333944,29895.028611810885,31882.02259411127,30383.44542467268,29854.293211420932,29914.33159530391,27347.568295087134,29149.16445468925,25852.243752579256,28584.205476086117,30241.611855535044,29874.759474653692,32411.96139931613,28813.61576030262,35542.06697310024,28390.39096155201,25697.54793339933,25527.066839059757,31738.000288497573,27563.662903965353,31050.4915073907,26351.8834586719,29585.70849362197,29622.418674648838,26892.971854514748,24283.542499074403,30289.433323408877,26291.899160522647,21359.471920677355,26349.741808169227,24617.7291351511,21077.627265768395,23025.561855786727,24964.05773214946,23611.97246814595,22343.9147769299,25122.30269362074,24963.255488180996,21839.4546072661,27891.771624784487,23840.214255284238,23534.137981843727,22246.051800675566,22951.299163551572,20069.52838726843,24112.320246260402,20711.266743901422,18025.330091594253,19268.89108287603,21789.210755471562,21811.340809713365,22195.671908299508,22381.71328260903,24888.83410358861,23451.800416684804,22751.523557482287,19055.491069008953,20777.126743821493,19848.939481715817,20347.839681828693,17941.994938813226,20131.03878335061,21413.65916691444,16610.15094285269,17487.597276811026,18491.890713799217,20832.107451844713,24682.441637274074,15630.668155596692,19871.826476374696,20874.892113212605,18804.467023762638,15243.339076805685,20098.090522705996,20486.795659327683,17348.18443909951,20732.49172997313,19615.29998222765
SSP370,Rio_Grande_Crossing,MEX,30673.942227172898,30870.269967526627,31449.292838604142,29570.97898626603,27128.94600064695,24765.35894130851,26472.806406604454,26237.84594035725,24861.046823763176,28622.02846990177,28082.35851297173,30517.78154394517,25720.924156009834,26558.430628268667,24737.718311070417,26247.768734711186,29205.616647746618,29286.2810315809,25154.142728952564,27674.718714270934,29132.099241054377,27873.330667355356,26322.674862508065,24668.717674436197,24138.3191974773,23836.288450587785,26674.922227540323,21155.80997433519,22232.928311947548,23965.5600100729,22494.40221433987,23874.323142499157,20362.321915103876,22089.035647290188,18186.64593345033,19996.93449573115,20024.074165405764,21159.45158992902,19807.770950987255,22209.132800222742,22903.424496757118,22371.908181787527,22023.914566104882,19357.13038515695,20720.875539749562,17761.546575882352,19762.064865514363,20203.39639574385,19354.348330556837,18580.326922441312,15023.612174617798,15651.951428520555,13705.6467230607,14201.949581346029,17529.473100039377,19454.241425651813,14505.226557906375,17408.234653240106,16822.733337871166,18381.442592566178,16330.521400339743,13663.34268832922,10188.164360110082,18400.31120969988,14080.573386804374,15401.248900396286,16275.183740768694,14695.595657997264,11512.107295395119,10664.111313041729,15479.871755046366,12410.33711435903,10364.939357009009,12759.39691264897,13499.980253861959,14620.102477297927,12766.775592257904,13459.291899010568
SSP585,Rio_Grande_Crossing,MEX,34784.89803277925,35597.34114026368,29895.284305095574,29531.009832116542,34131.70606112853,32245.94288261398,30580.85408074191,31539.061622889647,30671.911437320236,31670.383797469163,33204.75481446843,34333.291227009664,36494.750575008715,31415.321076615834,31346.10950734908,34557.814352794936,34479.44905511929,34952.97247151459,35235.426291121556,35304.27380285747,34468.871991769556,35690.16232318835,35481.09568823117,37396.79480894815,37311.07176755144,36629.66115969686,39542.479392095054,38687.32174944111,37173.26946631593,38188.0215586351,38661.776714990156,40949.41847105624,39839.40480770125,41649.720181736,39904.15967885148,40412.61789417444,37462.18340572056,39765.40967407776,40609.77496101352,40774.04140116372,41590.88756788283,41657.707354971186,45226.697283313915,43324.48056765932,42639.014510509645,42226.30638594933,41815.27837609697,44171.97864015934,43554.70206615701,43519.32453100925,42834.03227882941,43115.559138597455,43582.82557608035,46727.55757316739,45489.44964707771,46635.19275162809,46954.60909481024,45789.499256032046,45523.5404609638,47577.82007759281,49387.20849178866,47438.99139412981,50373.30350779194,48645.760786775565,51701.6784443003,46494.90783804176,51315.98876874657,50893.48963088813,50163.47156648246,49312.77491805314,49871.17309469556,50659.34144139941,51396.17938702552,53195.37124299376,54508.314728481455,51243.06150474923,49750.503102888004,55433.367008798086
